Date,Time,[3601_DB30DW66],[3601_DB33DW2],[3601_DB33DW4],[3601_DB33DW6],[3601_DB33DW8],[3601_DB33DW10],[3601_DB33DW12],[3601_DB33DW14],[3601_DB33DW16],[3601_DB33DW18],[3601_DB33DW20],[3601_DB20DW416]
16/10/2020,12:00:00 AM,505.3205999,453.9507867,448.1850067,515.2209761,494.3607687,635.3547837,878.639383,968.0766772,6.993890778,170.4187201,354.1152265,589.4261136
16/10/2020,12:01:00 AM,527.2208296,418.1268484,382.9622755,425.8027622,495.627044,465.5081076,1101.560995,879.0875267,6.576286275,171.7571884,285.6479177,517.3735991
16/10/2020,12:02:00 AM,513.3752724,429.5437706,480.831332,459.4011281,495.2470543,596.5095387,933.1198495,995.3138358,5.979838133,158.4615885,331.4609103,486.652224
16/10/2020,12:03:00 AM,498.3492138,426.6405285,435.3987747,553.3570853,458.9057389,555.8030438,948.0242461,946.5222514,6.039874699,166.2097164,294.0049878,497.8187934
16/10/2020,12:04:00 AM,474.8063232,357.9979948,349.8827191,450.9075417,451.951679,640.3646795,1068.744701,775.8217838,6.383198845,168.9519521,327.9249081,511.5376246
16/10/2020,12:05:00 AM,588.2249928,448.2738723,402.71183,421.3370999,485.6965449,638.1363312,1042.251224,920.1539395,4.975001914,176.0942036,365.307471,460.9184983
16/10/2020,12:06:00 AM,583.6079885,502.219203,377.3719299,463.909346,444.3811209,680.7554322,878.1814791,1051.011915,5.877391594,142.3282412,365.3305071,528.9662115
16/10/2020,12:07:00 AM,471.2517724,417.3322521,521.9592171,446.6991311,505.6871284,626.3667069,909.0979469,988.0888906,6.185243518,169.1530249,325.4969474,500.1799341
16/10/2020,12:08:00 AM,580.7380599,439.0102217,453.9549613,523.0527832,519.8252775,690.3272911,975.3636384,891.3276554,6.264423452,132.6712972,303.9783501,555.7468787
16/10/2020,12:09:00 AM,535.9169835,479.4803772,421.6873472,461.6091189,490.0713379,566.4433008,914.8124008,933.3685113,5.487133292,180.1240177,327.1796816,562.2061339
16/10/2020,12:10:00 AM,477.1702897,477.1231093,414.8806725,455.5982753,407.0772958,497.4994862,1001.034805,929.6386086,5.621799092,164.945669,310.28082,488.6726228
16/10/2020,12:11:00 AM,487.1478168,384.1226922,480.8761375,537.1665907,494.4400344,625.7265409,978.1389233,964.4301712,6.247293988,178.463604,312.9348864,538.6960506
16/10/2020,12:12:00 AM,526.4650724,430.4147282,428.3089825,433.7027956,448.5093323,504.3565188,1090.94536,855.3202306,6.798419232,154.5637206,284.8061416,440.7790847
16/10/2020,12:13:00 AM,579.3180382,402.7505952,406.5081272,480.5920177,469.3794629,586.9737253,953.0549705,858.3187526,6.295585357,158.7250782,275.1802371,524.7213488
